ticker,rsi_max,macd,stop_loss_pct,take_profit_pct,trades,wins,win_rate,avg_pnl_pct,total_pnl_pct,total_dollar_pnl,avg_hold_bars,best_trade,worst_trade,max_consec_losses
AMC,75,10/21/9,1.0,6.0,423,98,23.2,-0.065,-27.451,-2745.13,2.9,4.714,-2.913,50
AMC,75,10/21/9,2.0,6.0,423,98,23.2,-0.065,-27.451,-2745.13,2.9,4.714,-2.913,50
AMC,75,10/21/9,0.5,6.0,424,98,23.1,-0.066,-27.773,-2777.3,2.9,4.714,-2.913,50
AMC,60,8/21/9,1.0,4.0,314,73,23.2,-0.089,-27.977,-2797.72,3.1,3.0,-1.942,19
AMC,60,8/21/9,1.0,6.0,314,73,23.2,-0.089,-27.977,-2797.72,3.1,3.0,-1.942,19
AMC,60,8/21/9,2.0,4.0,314,73,23.2,-0.089,-27.977,-2797.72,3.1,3.0,-1.942,19
AMC,60,8/21/9,2.0,6.0,314,73,23.2,-0.089,-27.977,-2797.72,3.1,3.0,-1.942,19
AMC,65,12/26/9,1.0,2.0,325,69,21.2,-0.086,-28.095,-2809.51,3.1,4.377,-2.913,27
AMC,65,12/26/9,2.0,2.0,325,69,21.2,-0.086,-28.095,-2809.51,3.1,4.377,-2.913,27
AMC,60,8/21/9,0.5,4.0,316,73,23.1,-0.09,-28.303,-2830.25,3.0,3.0,-1.942,20
AMC,60,8/21/9,0.5,6.0,316,73,23.1,-0.09,-28.303,-2830.25,3.0,3.0,-1.942,20
AMC,70,10/21/9,1.0,2.0,390,86,22.1,-0.073,-28.645,-2864.51,2.9,4.377,-2.913,50
AMC,70,10/21/9,2.0,2.0,390,86,22.1,-0.073,-28.645,-2864.51,2.9,4.377,-2.913,50
AMC,65,12/26/9,0.5,2.0,327,69,21.1,-0.089,-28.96,-2896.04,3.1,4.377,-2.913,27
AMC,70,10/21/9,0.5,2.0,391,86,22.0,-0.074,-28.967,-2896.68,2.9,4.377,-2.913,50
AMC,65,12/26/9,1.0,4.0,323,69,21.4,-0.091,-29.26,-2926.04,3.2,4.377,-2.913,27
AMC,65,12/26/9,2.0,4.0,323,69,21.4,-0.091,-29.26,-2926.04,3.2,4.377,-2.913,27
AMC,65,12/26/9,1.0,6.0,323,69,21.4,-0.092,-29.597,-2959.71,3.2,4.04,-2.913,27
AMC,65,12/26/9,2.0,6.0,323,69,21.4,-0.092,-29.597,-2959.71,3.2,4.04,-2.913,27
AMC,65,8/21/9,1.0,2.0,364,82,22.5,-0.082,-29.668,-2966.77,2.9,4.377,-2.913,25
AMC,65,8/21/9,2.0,2.0,364,82,22.5,-0.082,-29.668,-2966.77,2.9,4.377,-2.913,25
AMC,70,10/21/9,1.0,6.0,388,86,22.2,-0.077,-29.755,-2975.55,3.0,4.714,-2.913,50
AMC,70,10/21/9,2.0,6.0,388,86,22.2,-0.077,-29.755,-2975.55,3.0,4.714,-2.913,50
AMC,65,8/21/9,0.5,2.0,366,82,22.4,-0.082,-29.993,-2999.3,2.9,4.377,-2.913,25
AMC,70,10/21/9,0.5,6.0,389,86,22.1,-0.077,-30.077,-3007.72,3.0,4.714,-2.913,50
AMC,70,10/21/9,1.0,4.0,388,86,22.2,-0.078,-30.092,-3009.22,3.0,4.377,-2.913,50
